Indiv1	Indiv2	relationship type	generation depth	meioses events
3900178	54033541	direct	-2	2
3900178	62175876	direct	-2	2
3900178	76066015	direct	-1	1
3900178	76602875	direct	-3	3
3900178	78061369	direct	-2	2
3900178	79668033	direct	-2	2
3900178	82720295	direct	-3	3
3900178	83213567	direct	-3	3
3900178	83616655	direct	-2	2
3900178	85252368	direct	-1	1
4010423	60269960	direct	-1	1
4311555	7787507	full	1	5
4311555	8599292	full	2	4
4311555	9015648	full	2	4
4311555	10557364	full	1	5
4311555	13919739	full	1	5
4311555	15064173	full	1	3
4311555	17185590	full	1	5
4311555	20714799	full	0	2
4311555	23591163	full	1	5
4311555	23625770	full	1	3
4311555	23860559	full	0	4
4311555	23909602	full	1	3
4311555	24137242	full	1	5
4311555	24344968	direct	3	3
4311555	25036073	full	0	6
4311555	26555372	full	1	5
4311555	29689879	full	2	4
4311555	29745672	full	1	5
4311555	31977120	full	1	5
4311555	38743500	full	0	6
4311555	41078192	full	0	6
4311555	44235976	full	0	6
4311555	47702028	full	0	6
4311555	49545387	direct	2	2
4311555	57047768	full	1	5
4311555	58721736	direct	1	1
4311555	60005874	direct	3	3
4311555	60244303	full	1	3
4311555	61700805	full	1	5
4311555	63659993	full	1	5
4311555	66093650	full	2	4
4311555	69134744	full	1	5
4311555	73016220	full	0	6
4311555	73022914	full	1	5
4311555	73256165	direct	2	2
4311555	73441147	full	1	5
4311555	74565681	full	1	3
4311555	75910951	full	0	6
4311555	79294534	full	0	6
4311555	80098879	full	0	6
4311555	80747413	full	2	4
4311555	84488216	full	1	5
4311555	84632725	direct	1	1
4311555	85024710	full	2	4
4493217	50040483	direct	-1	1
4627815	6525372	direct	-2	2
4627815	33981752	direct	-1	1
4627815	83616655	direct	-1	1
4846390	32568872	direct	-1	1
4846390	71725780	direct	-1	1
5941721	26704258	direct	-2	2
5941721	36874450	direct	-1	1
5941721	58075271	direct	-2	2
5941721	83444182	direct	-1	1
5985859	15401916	full	-1	3
5985859	20439774	direct	1	1
5985859	33641591	full	0	2
5985859	45721152	full	0	2
5985859	52404399	direct	1	1
5985859	81178559	full	-1	3
6525372	6874369	full	0	6
6525372	7189832	full	2	4
6525372	7959801	full	2	4
6525372	17601687	full	2	4
6525372	23383643	full	1	5
6525372	25255729	full	0	6
6525372	26261855	full	1	5
6525372	29764558	full	1	5
6525372	31601025	full	2	4
6525372	33981752	direct	1	1
6525372	36457536	full	1	5
6525372	42309593	direct	2	2
6525372	46215383	direct	3	3
6525372	50324091	full	1	5
6525372	51925748	full	1	5
6525372	53306027	full	2	4
6525372	54033541	full	1	5
6525372	62175876	full	1	5
6525372	76066015	full	2	4
6525372	76433337	direct	1	1
6525372	76602875	full	0	6
6525372	78061369	full	1	5
6525372	79668033	full	1	5
6525372	82720295	full	0	6
6525372	83213567	full	0	6
6525372	83616655	full	1	3
6525372	85252368	full	2	4
6636173	7368108	full	1	3
6636173	10365277	full	0	4
6636173	11358801	full	-1	5
6636173	11823858	full	0	4
6636173	12579651	direct	2	2
6636173	13065389	full	-1	5
6636173	15633272	full	0	4
6636173	17669879	full	-1	5
6636173	17717220	full	1	3
6636173	22630436	full	1	3
6636173	24149976	full	-1	5
6636173	25712643	full	0	4
6636173	26034161	full	1	3
6636173	26120825	direct	1	1
6636173	27068368	full	0	2
6636173	27523150	full	0	4
6636173	30010912	full	-1	5
6636173	31531987	full	-1	5
6636173	31588511	full	0	4
6636173	32534113	full	0	4
6636173	34609381	full	0	4
6636173	34819348	full	1	3
6636173	35664655	full	-1	5
6636173	35708742	full	1	3
6636173	36666553	full	0	4
6636173	37006321	full	1	3
6636173	37028717	full	0	4
6636173	39333574	full	-1	5
6636173	42790895	full	0	2
6636173	43167569	full	-1	5
6636173	43514383	full	0	4
6636173	45031675	full	0	2
6636173	46381623	full	-1	5
6636173	47088499	full	0	4
6636173	47586487	full	0	4
6636173	48260426	full	-1	5
6636173	50040483	full	-1	5
6636173	51650102	direct	2	2
6636173	54568961	full	-1	5
6636173	55046463	full	-1	5
6636173	55774070	full	0	4
6636173	55908148	full	-1	5
6636173	55922087	full	-1	5
6636173	57639758	full	1	3
6636173	58895877	full	1	3
6636173	59199947	full	0	4
6636173	60065213	full	-1	5
6636173	60269960	full	-2	6
6636173	61989684	full	0	4
6636173	62370006	direct	1	1
6636173	63322068	full	1	3
6636173	64053584	full	-1	5
6636173	64296767	full	-1	5
6636173	66901675	full	-1	5
6636173	67081409	full	-1	5
6636173	68088294	full	-1	5
6636173	71177161	full	-1	5
6636173	71690448	full	0	4
6636173	74478927	full	0	4
6636173	74584235	full	0	4
6636173	75613768	full	-1	5
6636173	78479581	full	0	4
6636173	79566133	full	-1	5
6636173	80371752	full	-1	5
6636173	80456332	full	-1	5
6636173	83731901	full	0	4
6808020	9119021	full	-1	5
6808020	16016761	full	-1	5
6808020	17669879	full	-1	5
6808020	19162967	full	0	4
6808020	22860196	direct	1	1
6808020	26704258	full	-1	5
6808020	29764558	full	0	4
6808020	31484389	full	-1	5
6808020	33643728	full	0	4
6808020	33710982	full	0	2
6808020	34900121	full	0	4
6808020	38267877	full	1	3
6808020	39880877	full	0	4
6808020	40186358	full	-1	5
6808020	43247606	full	0	4
6808020	43894541	full	0	2
6808020	45017237	full	0	4
6808020	45536399	full	0	4
6808020	48389525	full	1	3
6808020	48828987	direct	2	2
6808020	50147320	full	1	3
6808020	58075271	full	-1	5
6808020	58539330	full	1	3
6808020	66604406	full	0	4
6808020	71177161	full	-1	5
6808020	79744304	full	0	4
6808020	82674919	direct	1	1
6808020	83040108	full	0	4
6874369	7189832	direct	2	2
6874369	7959801	full	2	4
6874369	17601687	full	2	4
6874369	23383643	full	1	5
6874369	25255729	full	0	6
6874369	26261855	full	1	5
6874369	29764558	full	1	5
6874369	31601025	full	2	4
6874369	33981752	full	1	5
6874369	35718378	full	1	5
6874369	36457536	full	1	5
6874369	42309593	full	2	4
6874369	46215383	direct	3	3
6874369	47498882	direct	3	3
6874369	50324091	direct	1	1
6874369	51925748	full	1	3
6874369	53025530	direct	2	2
6874369	53306027	full	2	4
6874369	54033541	full	1	5
6874369	62175876	full	1	5
6874369	62909582	direct	3	3
6874369	64748313	full	2	4
6874369	64817435	full	0	6
6874369	72330157	full	1	5
6874369	76066015	full	2	4
6874369	76602875	full	0	6
6874369	78061369	full	1	5
6874369	79668033	full	1	5
6874369	82720295	full	0	6
6874369	83213567	full	0	6
6874369	83616655	full	1	5
6874369	85252368	full	2	4
6875765	10422895	direct	-1	1
6875765	15401916	direct	-2	2
6875765	17144014	direct	-1	1
6875765	25036073	direct	-2	2
6875765	73016220	direct	-2	2
6875765	81178559	direct	-2	2
6875765	83469102	direct	-1	1
7056463	40913632	direct	1	1
7056463	43333705	full	0	2
7056463	47702028	direct	-1	1
7056463	75073910	direct	1	1
7189832	7959801	full	0	2
7189832	17601687	full	0	2
7189832	23383643	full	-1	3
7189832	25255729	full	-2	4
7189832	26261855	full	-1	3
7189832	29764558	full	-1	3
7189832	31601025	full	0	2
7189832	33981752	full	-1	3
7189832	36457536	full	-1	3
7189832	42309593	full	0	2
7189832	46215383	direct	1	1
7189832	50324091	direct	-1	1
7189832	51925748	direct	-1	1
7189832	53306027	full	0	2
7189832	54033541	full	-1	3
7189832	62175876	full	-1	3
7189832	76066015	full	0	2
7189832	76602875	full	-2	4
7189832	78061369	full	-1	3
7189832	79668033	full	-1	3
7189832	82720295	full	-2	4
7189832	83213567	full	-2	4
7189832	83616655	full	-1	3
7189832	85252368	full	0	2
7368108	10365277	full	-1	3
7368108	11358801	direct	-2	2
7368108	11823858	direct	-1	1
7368108	12579651	direct	1	1
7368108	13065389	full	-2	4
7368108	15633272	full	-1	3
7368108	17669879	full	-2	4
7368108	17717220	full	0	2
7368108	22630436	full	0	2
7368108	24149976	full	-2	4
7368108	25712643	full	-1	3
7368108	26034161	full	0	2
7368108	27068368	full	-1	3
7368108	27523150	full	-1	3
7368108	30010912	direct	-2	2
7368108	31531987	direct	-2	2
7368108	31588511	full	-1	3
7368108	32534113	direct	-1	1
7368108	34609381	full	-1	3
7368108	34819348	full	0	2
7368108	35664655	full	-2	4
7368108	35708742	full	0	2
7368108	36666553	full	-1	3
7368108	37006321	full	0	2
7368108	37028717	full	-1	3
7368108	39333574	direct	-2	2
7368108	42790895	full	-1	3
7368108	43167569	full	-2	4
7368108	43514383	full	-1	3
7368108	45031675	full	-1	3
7368108	46381623	full	-2	4
7368108	47088499	direct	-1	1
7368108	47586487	full	-1	3
7368108	48260426	full	-2	4
7368108	50040483	full	-2	4
7368108	51650102	direct	1	1
7368108	54568961	full	-2	4
7368108	55046463	full	-2	4
7368108	55774070	full	-1	3
7368108	55908148	full	-2	4
7368108	55922087	full	-2	4
7368108	57639758	full	0	2
7368108	58895877	full	0	2
7368108	59199947	full	-1	3
7368108	60065213	full	-2	4
7368108	60269960	full	-3	5
7368108	61989684	full	-1	3
7368108	62370006	full	0	2
7368108	63322068	full	0	2
7368108	64053584	full	-2	4
7368108	64296767	direct	-2	2
7368108	66901675	full	-2	4
7368108	67081409	full	-2	4
7368108	68088294	direct	-2	2
7368108	71177161	full	-2	4
7368108	71690448	full	-1	3
7368108	74478927	direct	-1	1
7368108	74584235	full	-1	3
7368108	75613768	full	-2	4
7368108	78479581	full	-1	3
7368108	79566133	full	-2	4
